Rndrng_Prvdr_CCN,Rndrng_Prvdr_Org_Name,Rndrng_Prvdr_St,Rndrng_Prvdr_City,Rndrng_Prvdr_Zip5,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_State_FIPS,Rndrng_Prvdr_RUCA,Rndrng_Prvdr_RUCA_Desc,Tot_Benes,Tot_Submtd_Cvrd_Chrg,Tot_Pymt_Amt,Tot_Mdcr_Pymt_Amt,Tot_Dschrgs,Tot_Cvrd_Days,Tot_Days,Bene_Avg_Age,Bene_Age_LT_65_Cnt,Bene_Age_65_74_Cnt,Bene_Age_75_84_Cnt,Bene_Age_GT_84_Cnt,Bene_Feml_Cnt,Bene_Male_Cnt,Bene_Race_Wht_Cnt,Bene_Race_Black_Cnt,Bene_Race_API_Cnt,Bene_Race_Hspnc_Cnt,Bene_Race_NatInd_Cnt,Bene_Race_Othr_Cnt,Bene_Dual_Cnt,Bene_Ndual_Cnt,Bene_CC_BH_ADHD_OthCD_V1_Pct,Bene_CC_BH_Alcohol_Drug_V1_Pct,Bene_CC_BH_Tobacco_V1_Pct,Bene_CC_BH_Alz_NonAlzdem_V2_Pct,Bene_CC_BH_Anxiety_V1_Pct,Bene_CC_BH_Bipolar_V1_Pct,Bene_CC_BH_Mood_V2_Pct,Bene_CC_BH_Depress_V1_Pct,Bene_CC_BH_PD_V1_Pct,Bene_CC_BH_PTSD_V1_Pct,Bene_CC_BH_Schizo_OthPsy_V1_Pct,Bene_CC_PH_Asthma_V2_Pct,Bene_CC_PH_Afib_V2_Pct,Bene_CC_PH_Cancer6_V2_Pct,Bene_CC_PH_CKD_V2_Pct,Bene_CC_PH_COPD_V2_Pct,Bene_CC_PH_Diabetes_V2_Pct,Bene_CC_PH_HF_NonIHD_V2_Pct,Bene_CC_PH_Hyperlipidemia_V2_Pct,Bene_CC_PH_Hypertension_V2_Pct,Bene_CC_PH_IschemicHeart_V2_Pct,Bene_CC_PH_Osteoporosis_V2_Pct,Bene_CC_PH_Parkinson_V2_Pct,Bene_CC_PH_Arthritis_V2_Pct,Bene_CC_PH_Stroke_TIA_V2_Pct,Bene_Avg_Risk_Scre
010001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,36301,AL,01,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",3177,294241835,65257547,52228590,4299,23739,24919,75.468995908,362,964,1193,658,1640,1537,2649,465,12,21,,,727,2450,0.0169971671,0.0982058546,0.2316650929,0.2297765187,0.4211520302,0.0623229462,0.4088762984,0.3581995593,0.0129052565,0.0295876613,0.0657853321,0.1322001889,0.4054139125,0.1898016997,0.4211520302,0.3157066415,0.4746616305,0.4095058231,0.75,0.75,0.4944916588,0.1419578218,0.0308467107,0.5694050992,0.268177526,2.00993153
010005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,35957,AL,01,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1069,30377644,14401313,11507258,1344,7023,7345,76.044901777,116,303,404,246,607,462,1015,13,,23,,15,269,800,0.0102899906,0.1085126286,0.2553788587,0.273152479,0.4275023386,0.0879326473,0.4359214219,0.3985032741,0.0112254443,0.0187090739,0.0523854069,0.0916744621,0.3638914874,0.2020579981,0.4069223573,0.4424695978,0.4312441534,0.4695977549,0.75,0.75,0.4733395697,0.1674462114,0.0486435921,0.5650140318,0.2160898036,1.7923965186
010006,North Alabama Medical Center,1701 Veterans Drive,Florence,35630,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2537,228328516,43111067,36036917,3497,18766,19125,75.702798581,266,807,947,517,1378,1159,2336,144,,20,,30,536,2001,0.0126133228,0.2089081592,0.2077256602,0.2227039811,0.4209696492,0.0658257785,0.4434371305,0.4107213244,0.0204966496,0.0236499803,0.0472999606,0.1379582184,0.3957430035,0.1722506898,0.3862830114,0.4166338195,0.4800945999,0.4134804888,0.75,0.75,0.5206937328,0.1738273551,0.050059125,0.6369728025,0.2033898305,1.9865831653
010007,Mizell Memorial Hospital,702 N Main St,Opp,36467,AL,01,7,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",195,4129261,2507052,2212284,261,1077,1089,77.107692308,21,49,69,56,121,74,183,,,,,,62,133,0.0102564103,0.0666666667,0.2461538462,0.3692307692,0.4666666667,0.1128205128,0.4871794872,0.4205128205,0.0205128205,0.0256410256,0.1230769231,0.1230769231,0.4666666667,0.1948717949,0.5076923077,0.4871794872,0.4974358974,0.5076923077,0.6717948718,0.75,0.4102564103,0.1487179487,0.0512820513,0.6615384615,0.1487179487,1.9063945421
010008,Crenshaw Community Hospital,101 Hospital Circle,Luverne,36049,AL,01,3,"Metropolitan area low commuting: primary flow 10% to <30% to a urbanized area of 50,000 and greater",76,1949579,881523,753614,102,396,401,80.184210526,,12,29,,46,30,68,,,,,,29,47,0,0.0657894737,0.2368421053,0.5,0.5526315789,0.0789473684,0.5394736842,0.5,0.0526315789,0.0263157895,0.0789473684,0.0789473684,0.4473684211,0.1052631579,0.5263157895,0.5,0.5657894737,0.5131578947,0.75,0.75,0.5131578947,0.1315789474,0.0394736842,0.5789473684,0.1710526316,1.9296122807
010011,St Vincent's East,50 Medical Park East Drive,Birmingham,35235,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1724,141941469,32550111,26779885,2311,12766,13179,74.694315545,223,527,606,368,898,826,1453,223,,13,,29,341,1383,0.0214617169,0.129350348,0.2430394432,0.2488399072,0.4083526682,0.0986078886,0.4547563805,0.4245939675,0.0597447796,0.0261020882,0.1026682135,0.120649652,0.4361948956,0.1821345708,0.4692575406,0.3694895592,0.4808584687,0.4437354988,0.75,0.75,0.5382830626,0.1270301624,0.0353828306,0.4901392111,0.1972157773,2.1545619322
010012,Dekalb Regional Medical Center,200 Med Center Drive,Fort Payne,35968,AL,01,10,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",420,37530421,6246786,5488594,541,2546,2629,76.923809524,35,130,150,105,255,165,403,,,,,,116,304,0.0142857143,0.0880952381,0.2047619048,0.3357142857,0.4880952381,0.1142857143,0.4261904762,0.3976190476,0.0095238095,0.0142857143,0.1095238095,0.1095238095,0.3952380952,0.1547619048,0.45,0.4023809524,0.4833333333,0.4428571429,0.75,0.75,0.4642857143,0.1261904762,0.0380952381,0.580952381,0.130952381,1.8144590314
010016,Shelby Baptist Medical Center,1000 First Street North,Alabaster,35007,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1007,186133523,18726779,14459822,1331,6309,6882,76.125124131,102,308,375,222,554,453,902,80,,,,11,146,861,0.0148957299,0.1142005958,0.2154915591,0.2601787488,0.4220456802,0.0585898709,0.4309831182,0.4041708044,0.0188679245,0.0198609732,0.049652433,0.1290963257,0.411122145,0.1906653426,0.5670307845,0.3088381331,0.4776564052,0.5561072493,0.75,0.75,0.5739821251,0.1767626614,0.0417080437,0.5471698113,0.2254220457,2.0151756482
010018,Uab Callahan Eye Hospital Authority,1720 University Blvd Ste 305,Birmingham,35233,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",25,978014,763403,306482,28,83,83,73.08,,16,,,,,24,,,,,,,,0,0.04,0.04,0,0.24,0.04,0.08,0.04,0,0,0,0.16,0.16,0.2,0.32,0.24,0.32,0.24,0.75,0.75,0.36,0.04,0,0.52,0.08,1.044864
010019,Helen Keller Memorial Hospital,1300 South Montgomery Avenue,Sheffield,35660,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1089,41695444,12200460,10065328,1396,6566,6711,77.212121212,82,327,413,267,672,417,992,79,,,,15,215,874,0.0101010101,0.1386593205,0.1882460973,0.2681359045,0.4380165289,0.0587695133,0.4527089073,0.4031221304,0.0266299357,0.0174471993,0.0449954086,0.1111111111,0.3535353535,0.1854912764,0.4159779614,0.3893480257,0.4802571166,0.4049586777,0.75,0.75,0.4260789715,0.1808999082,0.0459136823,0.6776859504,0.157943067,1.8986858822
